題目,主題A,主題B,主題C,正確主題,老實人解釋,解釋
天邊一朵雲,影視,小說,物理,影視,2005年臺灣電影，上映前因為影片涉及色情而引發爭議，讓該片在台灣上映之前就充滿話題性，經行政院新聞局電影處的15位人員表決之下，以一刀未剪通過審議。因媒體皆圍繞在炒作其性變話題上，有不少民眾抱著看熱鬧的心情而進電影院觀賞。,
安藤百福,企業,人物,飲食,企業,台灣裔日本人，生於日屬臺灣嘉義，鹿模仔腳街的企業家，早年曾致力於麵條改良，製成現代化快速沖泡即可方便食用的泡麵，並創辦日清食品公司，是泡麵和杯麵的發明者。,
抓大放小,物理,博弈,企業,博弈,中國政府在1995年面對國企改革問題時提出的應對方針。抓大：扶持大型國企，改善其管理水平及提升競爭力。放小：對於中小型企業，採取相對靈活，甚至放任的姿態，把它們直接推向市場。,
油鬼仔,傳說,物理,宗教,傳說,是馬來族文化傳說中內學／隱秘之學的一種，學了這類巫術後就可以來去自如，類似中國文化的穿牆術之類的傳說。油鬼仔的獨門技巧是身上非常光滑，以致可以輕易地「滑進」人們住所偷竊或者做其他犯罪活動，即使被逮捕，也因為身體光滑而輕易的從逮捕者的指尖「滑走」。,
鍵盤小妹,網路,用語,文化,網路,是ptt的一種現象及流行用語。指冒充女性使用者的男性鄉民。ptt的使用者以男性為多，從早期開始就常有冒充女生的用戶，例如使用女性化的ID或暱稱。但這種「小妹文」，其中不乏冒充性別以獲得便利的人。,
普隆德拉,物理,遊戲,宗教,遊戲,是遊戲「仙境傳說」中，位於大陸交通重心，也是盧恩－米德加茲王國的首都。其熱鬧程度自然不在話下；正因為它的重要性，冒險家們漸漸地以「主城」來稱呼這個繁榮的都市。集合了來自四面八方的人們，自然而然的也形成了最具規模的市場，不論是新手或是老手，如果沒有來過這座城市的話連冒險者這個稱呼都談不上。,
毒鵝膏,毒物,保健食品,生物,毒物,為一種劇毒真菌，廣泛分布在亞歐大陸，菌傘一般呈現綠色，並且有白色的菌柄和菌褶。這種菇類在人類因毒菇中毒而死亡的比例中超過了半數，並且有可能是羅馬皇帝克勞狄烏斯和神聖羅馬帝國皇帝查理六世的死因。,
法老之蛇,傳說,藝術,化學,化學,是一種爆竹，又稱蛇炮，被點燃後會產生煙，通過膨脹呈現出類似蛇的形態。這類爆竹會在地上安靜燃燒並可能釋放煙氣，但不產生火花或耀眼的光，不會迸出物體，不發出聲音。簡易的實驗材料有：貓砂、糖、酒精、小蘇打粉。,
香蕉戰爭,戰役,小說,影視,戰役,指1898－1934年間美國對中美洲和加勒比海地區的一系列占領、未宣戰的軍事行動與內政操控。這一時期開始於1898年的美西戰爭和隨後的巴黎條約，使美國控制住古巴和波多黎各。作家萊斯特．D．蘭利寫了數本關於拉丁美洲歷史和美國干預的書籍，當中他以「香蕉戰爭」及「香蕉共和國」形容美國的干預及被干預的國家。,
豐乳肥臀,小說,文學,文化,小說,是中國作家莫言最具爭議也最受歡迎的長篇小說。全書主要刻畫了一個從抗日戰爭到改革開放後的偉大母親形象。,
魔鬼蛋,飲食,料理,文化,飲食,起源於義大利，又稱作填料蛋、俄羅斯蛋、調製蛋。做法：將蛋煮熟後剖切半，將蛋黃與美乃滋或芥末醬混和後填回的餐點。此餐點常作為冷食，為配菜、開胃餐或主餐，通常會於假日或派對時出菜。在歐洲與北美很受歡迎。,
灰姑娘效應,心理學,物理,密碼,心理學,是一個演化心理學術語，源於童話《灰姑娘》，指繼子或繼女受到其繼父母虐打、性虐待、忽視、謀殺等其他虐待的比率明顯高於親生父母親子關係的現象。,
天使抽稅,傳說,飲食,博弈,傳說,蘇格蘭人會用橡木桶儲存威士忌，但桶內的威士忌每年都會有2-4%揮發到空氣中，故人們稱這個現象為天使抽稅，意指酒被天使偷偷喝掉。,
大人買,消費,經濟,文化,消費,指成年消費者利用自身財力，大量購買針對兒童青少年為對象的商品（如：玩具、零食、整套漫畫書及模型等）的行為，即「同一個東西買很多個」。,
收皮,用語,網路,文化,用語,是香港較粗俗的用語，意思是叫人住口或滾蛋。,
薪能,環保,表演,科技,表演,是日本能樂的一種，意為「薪火之宴時的能樂」。主要在夏日的夜間舉辦，人們在能樂堂或野外臨時搭建的能舞台周圍點燃火堆，挑選特定的能樂曲目進行表演。,
拉撒路現象,生理現象,醫學,宗教,生理現象,又稱為拉撒路反射。該現象會發生在腦死病患身上，當病患已經被判定腦死之後，只要碰觸到特定的脊椎位置，就會突然雙手舉高，之後將雙手在胸前交叉，像復活過來一樣。但該現象只會發生在部分病患上（約13%），並非所有人皆是如此。拉薩路是一位聖經中的人物，因為耶穌的能力而復活。,
心意把,心理學,武功,器具,武功,為少林寺武僧研習心意拳所推演出來的一種散招拳法。,
小豆洗,蔬菜,傳說,物理,傳說,又稱為「小豆淘」、「洗豆妖」。日本傳說中，是一種在河川邊出現，會發出「窸窸窣窣」像淘洗小豆一樣聲音的妖怪，聲音可以傳得很遠，即使走出了十町地（約合1公里）還能聽到。,
橄葉環,頭冠,宗教,裝飾,頭冠,一種以橄欖葉編織而成的花冠狀頭冠。在古羅馬時代為公民能獲得的次高軍事勳章，僅次於禾草環。它被頒授於那些以實際行動拯救同胞於危難中的羅馬公民。,
腺毛馬藍,植物,物理,生態,植物,"為中國的特有植物。分布於中國雲南等地，生長於海拔800米至3,000米的地區，常生於林下或草坡，目前尚未由人工引種栽培。",
自律期,兒童,時代,個性,兒童,英國學者提出兒童在8歲以上時，能夠理解規則是可以打破的，並認為自己可以制定規則。,
黑暗餐廳,實驗,料理,風景,實驗,一種主打無燈光料理的餐廳，客人需要在全黑的狀況下用餐。,
泡泡聊天,付費,活動,社交,活動,一種由偶像或藝人的聊天互動方式，粉絲可以透過付費與藝人進行一對一的私人聊天，因為聊天的對話框很像泡泡的形狀而得名。,
鷹架論,教學,建築,動物,教學,一種教學的方式，教師提供學生在學習上的輔助，讓學生可以快速理解知識。,
利他能,藥物,運動,能力,藥物,是一種藥物，提供注意力不足過動症之患者使用，使其疲累致無法做出過多動作。,
螞蟻農夫,昆蟲,作物,活動,昆蟲,位於南美洲的割葉蟻，會在巢穴中種植真菌來當食物。,
漂鳥學校,部落,教育,動畫,教育,非洲有些部落會隨著季節進行移動，同時學生也會跟著漂流。,
拿了錢就跑,藝術品,網路用語,歌曲,藝術品,一位藝術家被博物館邀請，結果收了錢之後只給了兩幅空白的作品，並取名為「拿了錢就跑」。,
垃圾桶決策,解決問題,物品,商業,解決問題,一種決策的方式，將所有雜亂難解的人聚集在一起，討論大家隨機提供解決方法。,
窗戶進街,博物館,建築,購物,購物,在逛街時只有觀賞而已，不進行購買的動作。,
巴斯卡三角形,數學,建築,武器,數學,一種數列的寫法，意指將數字相乘後可以形成一個類似金字塔的三角形。,
鉤吻,植物,動物,武器,植物,中國傳統毒藥植物，也叫「斷腸草」，微量即可致命。,
光暈,物品,地區,現象,現象,太陽或月亮周圍出現的彩色光環，因水滴或冰晶繞射形成。,
空氣花,植物,水果,遊戲,植物,一種鳳梨，不需要土壤就可以生長，只要吸收空氣中的水分就可以生存。,
鴿子與豌豆,藝術品,藥物,活動,藝術品,是一幅畢卡索的作品，在2010年之前放在巴黎藝術博物館，但是被盜取現後來找回來。,
伏爾沙瓦動作,宇宙現象,生物,運動,生物,在運動時憋氣，使腹壓上升，再吐氣，以減緩心悸。可增加力量及防止受傷。對舉重選手來說，憋氣可以幫助身體舉起更大的重量。,
糖蜜災難,生理,料理,事件,事件,美國波士頓名為北區的住宅區中一座巨大糖蜜儲存槽所引起的災難。滾燙的糖蜜波浪快速的沖入周圍的街道，導致多人傷亡。,
狐狸叫,地名,生物現象,民俗文化,地名,在香港西貢地區的一個地名，因為有很多山貓、貓頭鷹之類的動物，這些動物移動的速度跟狐狸一樣快，因此得名。,
恆河猴實驗,心理學,天氣現象,購物,心理學,一種心理學的實驗，將剛出生的恆河猴帶離母猴身邊，並提供一隻具有攻擊性的鐵製假猴，小猴會將鐵製假猴視為母親並依附在他身上。意思為孩子對於母愛的需求大於受到攻擊的恐懼。,
帕夫洛夫的狗,音樂,現象,生物本能,生物本能,學者帕夫洛夫做的實驗，在狗聽到開罐頭的聲音時，就會開始不自覺的流口水，表示針對他人行為的條件反射。,
蝌蚪啃蠟,飲料,水果,建築,飲料,可口可樂在銷售到中國時的第一個名字，但因音譯的關係，聽起來很不好聽，因此改名為現今的可口可樂。,
問間觀音,寺廟,宗教活動,藝術品,宗教活動,是全日本唯一一個供奉對象為乳房的神社，代表的神意是尊子千歲，據說這寺院在哪兒，育兒、乳房發育、安全分娩、求子等方面都很靈驗。,
噶蛋教,宗教,隱喻,心理學,隱喻,一貫道宗教的前身，因為該宗教時代衣料就是「口」，將其比喻為還未孵化的噶蛋，因此得名。,
廚所女神,音樂,料理,都市傳說,音樂,是日本歌手的單曲，於2010年發行，是該歌手的成名作和代表歌曲。為紀念外祖母的感人歌曲，內容是跟外祖母一起整理廁所所發生的狀況。,
